iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_per_case,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
CYP,Europe,Cyprus,2020-10-01,1755.0,12.0,14.429,22.0,0.0,0.0,2003.656,13.7,16.473,25.116999999999997,0.0,0.0,384959.0,2454.0,439.50199999999995,2.802,2846.0,3.2489999999999997,197.248,0.005,tests performed,53.7,875899.0,127.65700000000001,37.3,13.415999999999999,8.562999999999999,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.8690000000000001
CZE,Europe,Czech Republic,2020-10-01,68919.0,1076.0,1922.1429999999998,655.0,19.0,14.286,6435.626,100.476,179.489,61.163999999999994,1.774,1.334,1412199.0,23906.0,131.871,2.2319999999999998,17782.0,1.66,9.251,0.108,tests performed,38.89,10708982.0,137.17600000000002,43.3,19.027,11.58,32605.906000000003,,227.485,6.82,30.5,38.3,,6.63,79.38,0.888
DEU,Europe,Germany,2020-10-01,291722.0,2503.0,1950.286,9500.0,12.0,10.286,3481.837,29.874000000000002,23.278000000000002,113.387,0.14300000000000002,0.12300000000000001,,,,,161580.0,1.929,82.84899999999998,0.012,tests performed,46.76,83783945.0,237.016,46.6,21.453000000000003,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.9359999999999999
DJI,Africa,Djibouti,2020-10-01,5416.0,0.0,1.286,61.0,0.0,0.0,5481.77,0.0,1.301,61.74100000000001,0.0,0.0,,,,,,,,,,37.96,988002.0,41.285,25.4,4.213,2.38,2705.406,22.5,258.03700000000003,6.05,1.7,24.5,,1.4,67.11,0.47600000000000003
DMA,North America,Dominica,2020-10-01,31.0,7.0,1.0,,0.0,0.0,430.60900000000004,97.234,13.890999999999998,,0.0,0.0,,,,,,,,,,25.0,71991.0,98.56700000000001,,,,9673.367,,227.37599999999998,11.62,,,,3.8,75.0,0.715
DNK,Europe,Denmark,2020-10-01,27998.0,534.0,520.143,650.0,0.0,1.0,4833.7390000000005,92.193,89.801,112.22,0.0,0.17300000000000001,3930797.0,44466.0,678.6360000000001,7.6770000000000005,46784.0,8.077,89.945,0.011,tests performed,50.93,5792203.0,136.52,42.3,19.677,12.325,46682.515,0.2,114.76700000000001,6.41,19.3,18.8,,2.5,80.9,0.929
DOM,North America,Dominican Republic,2020-10-01,112209.0,309.0,353.14300000000003,2105.0,4.0,4.428999999999999,10343.841999999999,28.485,32.554,194.047,0.369,0.408,,,,,3238.0,0.298,9.169,0.109,samples tested,75.93,10847904.0,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.181999999999995,1.6,74.08,0.736
DZA,Africa,Algeria,2020-10-01,51530.0,162.0,161.429,1734.0,8.0,5.143,1175.115,3.694,3.681,39.543,0.182,0.11699999999999999,,,,,,,,,,75.93,43851043.0,17.348,29.1,6.211,3.8569999999999998,13913.839,0.5,278.36400000000003,6.73,0.7,30.4,83.741,1.9,76.88,0.754
ECU,South America,Ecuador,2020-10-01,137047.0,1298.0,1022.143,11355.0,43.0,26.285999999999998,7767.757,73.57,57.935,643.596,2.437,1.49,365003.0,5085.0,20.688000000000002,0.28800000000000003,3939.0,0.223,,,people tested,48.61,17643060.0,66.939,28.1,7.104,4.458,10581.936000000002,3.6,140.44799999999998,5.55,2.0,12.3,80.635,1.5,77.01,0.752
EGY,Africa,Egypt,2020-10-01,103198.0,119.0,117.571,5930.0,16.0,15.429,1008.439,1.163,1.149,57.946999999999996,0.156,0.151,,,,,,,,,,62.96,102334403.0,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.82700000000001,1.6,71.99,0.696
ERI,Africa,Eritrea,2020-10-01,375.0,0.0,1.571,,0.0,0.0,105.74,0.0,0.44299999999999995,,0.0,0.0,,,,,,,,,,86.11,3546427.0,44.303999999999995,19.3,3.6069999999999998,2.171,1510.4589999999998,,311.11,6.05,0.2,11.4,,0.7,66.32,0.44
ESH,Africa,Western Sahara,2020-10-01,766.0,0.0,0.0,1.0,0.0,0.0,1282.373,0.0,0.0,1.6740000000000002,0.0,0.0,,,,,,,,,,,597330.0,,28.4,,1.38,,,,,,,,,70.26,
ESP,Europe,Spain,2020-10-01,778607.0,9419.0,10628.286,31973.0,182.0,122.14299999999999,16652.991,201.455,227.32,683.8439999999999,3.8930000000000002,2.612,10121252.0,,216.475,,111761.0,2.39,10.515,0.095,tests performed,55.09,46754783.0,93.105,45.5,19.436,13.799000000000001,34272.36,1.0,99.40299999999999,7.17,27.4,31.4,,2.97,83.56,0.8909999999999999
EST,Europe,Estonia,2020-10-01,3371.0,56.0,48.286,64.0,0.0,0.0,2541.199,42.215,36.4,48.246,0.0,0.0,217692.0,2026.0,164.105,1.527,2543.0,1.9169999999999998,52.666,0.019,tests performed,22.22,1326539.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.56900000000002,4.02,24.5,39.3,,4.69,78.74,0.871
ETH,Africa,Ethiopia,2020-10-01,75368.0,784.0,612.143,1198.0,7.0,8.142999999999999,655.582,6.82,5.325,10.421,0.061,0.071,1278827.0,6475.0,11.124,0.055999999999999994,6312.0,0.055,10.311,0.097,tests performed,77.78,114963583.0,104.95700000000001,19.8,3.5260000000000002,2.063,1729.9270000000001,26.7,182.63400000000001,7.47,0.4,8.5,7.96,0.3,66.6,0.46299999999999997
FIN,Europe,Finland,2020-10-01,9992.0,100.0,100.571,344.0,1.0,0.14300000000000002,1803.376,18.048,18.151,62.086000000000006,0.18,0.026000000000000002,1115829.0,10876.0,201.387,1.963,12479.0,2.252,124.081,0.008,samples tested,32.41,5540718.0,18.136,42.8,21.228,13.264000000000001,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.92
FJI,Oceania,Fiji,2020-10-01,32.0,0.0,0.0,2.0,0.0,0.0,35.696999999999996,0.0,0.0,2.231,0.0,0.0,10825.0,39.0,12.075,0.044000000000000004,87.0,0.09699999999999999,,0.0,tests performed,48.15,896444.0,49.562,28.6,6.224,3.284,8702.975,1.4,412.82,14.49,10.2,34.8,,2.3,67.44,0.741
FLK,South America,Falkland Islands,2020-10-01,13.0,0.0,0.0,,0.0,0.0,3732.415,0.0,0.0,,0.0,0.0,,,,,,,,,,,3483.0,,,,,,,,,,,,,81.44,
FRA,Europe,France,2020-10-01,563535.0,12845.0,11770.571000000002,31956.0,63.0,71.0,8633.440999999999,196.787,180.327,489.57099999999997,0.965,1.088,,194635.0,,2.9819999999999998,161220.0,2.47,13.697,0.073,tests performed,46.76,65273512.0,122.57799999999999,42.0,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.9009999999999999
FRO,Europe,Faeroe Islands,2020-10-01,467.0,4.0,2.286,,0.0,0.0,9556.943000000001,81.858,46.776,,0.0,0.0,,,,,,,,,,,48865.0,35.308,,,,,,,,,,,,80.67,
GAB,Africa,Gabon,2020-10-01,8766.0,14.0,7.143,54.0,0.0,0.0,3938.487,6.29,3.2089999999999996,24.261999999999997,0.0,0.0,,,,,,,,,,66.67,2225728.0,7.859,23.1,4.45,2.9760000000000004,16562.413,3.4,259.967,7.2,,,,6.3,66.47,0.7020000000000001
GBR,Europe,United Kingdom,2020-10-01,453264.0,7108.0,6219.286,42143.0,71.0,40.143,6676.84,104.705,91.61399999999999,620.7909999999999,1.046,0.591,20964429.0,233861.0,308.818,3.445,234175.0,3.45,37.653,0.027000000000000003,tests performed,67.59,67886004.0,272.89799999999997,40.8,18.517,12.527000000000001,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54,81.32,0.922
GEO,Asia,Georgia,2020-10-01,6640.0,774.0,320.143,39.0,6.0,2.0,1664.505,194.025,80.253,9.776,1.504,0.501,,,,,,,,,,56.48,3989175.0,65.032,38.7,14.864,10.244000000000002,9745.079,4.2,496.218,7.11,5.3,55.5,,2.6,73.77,0.78
GGY,Europe,Guernsey,2020-10-01,256.0,0.0,0.0,13.0,0.0,0.0,3817.9320000000002,0.0,0.0,193.87900000000002,0.0,0.0,,,,,,,,,,,67052.0,,,,,,,,,,,,,,
GHA,Africa,Ghana,2020-10-01,46656.0,174.0,71.857,301.0,0.0,0.28600000000000003,1501.499,5.6,2.313,9.687000000000001,0.0,0.009000000000000001,488427.0,755.0,15.719000000000001,0.024,1332.0,0.043,18.537,0.054000000000000006,samples tested,44.44,31072945.0,126.719,21.1,3.385,1.9480000000000002,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.5920000000000001
GIB,Europe,Gibraltar,2020-10-01,396.0,5.0,5.571000000000001,,0.0,0.0,11753.881000000001,148.408,165.368,,0.0,0.0,,,,,,,,,,,33691.0,3457.1,,,,,,,,,,,,79.93,
GIN,Africa,Guinea,2020-10-01,10652.0,18.0,31.143,66.0,0.0,0.14300000000000002,811.0989999999999,1.371,2.371,5.026,0.0,0.011000000000000001,,,,,,,,,,48.15,13132792.0,51.755,19.0,3.135,1.733,1998.9260000000002,35.3,336.717,2.42,,,17.45,0.3,61.6,0.45899999999999996
GMB,Africa,Gambia,2020-10-01,3579.0,0.0,5.2860000000000005,112.0,0.0,0.28600000000000003,1480.967,0.0,2.187,46.345,0.0,0.11800000000000001,,,,,,,,,,75.93,2416664.0,207.56599999999997,17.5,2.339,1.4169999999999998,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.46
GNB,Africa,Guinea-Bissau,2020-10-01,2324.0,0.0,3.0,39.0,0.0,0.0,1180.896,0.0,1.524,19.817,0.0,0.0,,,,,,,,,,,1967998.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.455
