location,total_cases_per_million,total_deaths_per_million,total_tests_per_thousand,tests_per_case,positive_rate,stringency_index,population,population_density,median_age,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
Nepal,2670.7459999999996,17.092,35.486,7.792000000000002,0.128,76.85,29136808.0,204.43,25.0,3.2119999999999997,2442.804,15.0,260.797,7.26,9.5,37.8,47.782,0.3,70.78,0.574
New Zealand,306.91200000000003,5.184,198.81599999999997,3684.333,0.0,31.94,4822233.0,18.206,37.9,9.72,36085.843,,128.797,8.08,14.8,17.2,,2.61,82.29,0.917
Oman,19305.326,183.09599999999998,,,,86.11,5106622.0,14.98,30.7,1.53,37960.709,,266.342,12.61,0.5,15.6,97.4,1.6,77.86,0.821
Pakistan,1416.102,29.354,16.064,52.727,0.019,37.5,220892331.0,255.57299999999998,23.5,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.562
Panama,26095.262000000002,549.74,112.288,7.412000000000001,0.135,87.04,4314768.0,55.133,29.7,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51,0.789
Peru,24712.872000000003,984.567,,,,82.41,32971846.0,25.129,29.1,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.75
Philippines,2822.595,49.717,32.755,16.098,0.062,58.33,109581085.0,351.87300000000005,25.2,2.661,7599.188,,370.43699999999995,7.07,7.8,40.8,78.46300000000001,1.0,71.23,0.6990000000000001
Papua New Guinea,59.685,0.782,,,,25.0,8947027.0,18.22,22.6,2.142,3823.1940000000004,,561.494,17.65,23.5,48.8,,,64.5,0.544
Poland,2418.024,66.4,85.255,15.738,0.064,19.44,37846605.0,124.027,41.8,10.202,27216.445,,227.331,5.91,23.3,33.1,,6.62,78.73,0.865
Puerto Rico,17042.197,231.051,,,,70.37,2860840.0,376.23199999999997,38.2,9.829,35044.67,,108.094,12.9,,,,,80.1,
Portugal,7408.47,193.298,259.827,28.944000000000006,0.035,58.8,10196707.0,112.37100000000001,46.2,14.924000000000001,27936.896,0.5,127.84200000000001,9.85,16.3,30.0,,3.39,82.05,0.847
Paraguay,5714.382,120.154,39.384,3.73,0.268,81.48,7132530.0,17.144000000000002,26.5,3.833,8827.01,1.7,199.128,8.27,5.0,21.6,79.602,1.3,74.25,0.7020000000000001
Palestine,9907.249,72.137,,,,82.41,5101416.0,778.202,20.4,1.726,4449.898,1.0,265.91,10.59,,,,,74.05,0.6859999999999999
